review_scores_rating,price,property_type,neighbourhood_cleansed,host_is_superhost,availability_30,availability_60,availability_90,instant_bookable,calculated_host_listings_count,reviews_per_month
99.0,450.0,Entire house,Castro/Upper Market,t,0,0,0,f,1,0.34
97.0,403.0,Entire apartment,Potrero Hill,t,21,51,81,f,1,0.71
95.0,120.0,Private room in guest suite,Western Addition,t,0,0,0,f,1,2.81
96.0,149.0,Entire guest suite,Inner Sunset,t,6,22,43,f,1,6.56
95.0,30.0,Private room in apartment,Potrero Hill,f,29,59,89,f,2,0.29
100.0,180.0,Entire loft,Mission,f,0,0,0,f,2,0.04
99.0,160.0,Entire condominium,Haight Ashbury,f,0,0,0,f,2,0.82
96.0,84.0,Entire guest suite,West of Twin Peaks,t,5,20,44,f,3,3.27
95.0,135.0,Entire apartment,Inner Richmond,t,0,0,0,f,1,2.31
96.0,399.0,Private room in house,Castro/Upper Market,f,30,60,89,f,1,0.45
96.0,327.0,Entire condominium,Mission,t,0,0,0,f,2,0.18
98.0,145.0,Entire guest suite,Outer Sunset,t,28,58,88,f,1,4.8
95.0,135.0,Entire apartment,Noe Valley,f,19,49,79,f,2,2.62
98.0,109.0,Entire guest suite,Noe Valley,t,0,0,0,f,1,3.11
97.0,239.0,Entire house,Noe Valley,f,18,48,78,f,2,2.34
92.0,95.0,Entire apartment,Noe Valley,f,30,60,90,f,1,0.21
97.0,500.0,Entire house,Outer Richmond,f,5,7,14,f,2,0.18
95.0,162.0,Entire loft,Western Addition,f,0,6,28,f,1,0.29
99.0,280.0,Entire apartment,North Beach,t,29,30,30,f,1,1.86
100.0,180.0,Private room in apartment,Potrero Hill,f,0,0,0,f,3,0.06
94.0,395.0,Entire apartment,Russian Hill,f,22,48,78,t,1,1.41
72.0,123.0,Entire apartment,Nob Hill,t,29,59,89,f,8,0.09
94.0,38.0,Private room in apartment,Potrero Hill,f,9,39,69,f,2,0.34
97.0,125.0,Private room in condominium,Castro/Upper Market,t,9,39,69,f,1,3.6
98.0,120.0,Private room in apartment,Mission,t,9,39,56,t,1,6.95
94.0,170.0,Entire condominium,Haight Ashbury,f,30,60,90,t,1,1.18
95.0,180.0,Entire house,Mission,t,5,28,40,t,1,3.1
99.0,190.0,Entire guest suite,Haight Ashbury,t,8,35,65,t,1,1.28
96.0,128.0,Entire apartment,Marina,t,8,38,68,f,2,0.26
96.0,200.0,Entire house,Glen Park,f,3,3,3,f,1,0.26
97.0,399.0,Entire loft,Mission,t,0,0,0,t,1,0.51
98.0,132.0,Entire house,Bernal Heights,t,0,3,33,f,1,0.92
96.0,410.0,Entire house,West of Twin Peaks,t,16,46,76,f,1,1.15
98.0,126.0,Entire guest suite,Noe Valley,t,0,20,50,f,1,2.22
97.0,100.0,Private room in condominium,Mission,t,0,0,0,f,2,4.2
99.0,613.0,Entire house,Twin Peaks,t,0,0,0,f,1,0.49
95.0,99.0,Private room in apartment,Mission,f,0,0,0,f,2,1.51
98.0,114.0,Private room in townhouse,Mission,t,0,29,59,t,3,2.54
74.0,350.0,Entire apartment,Financial District,f,30,60,90,f,1,0.03
92.0,157.0,Entire apartment,Western Addition,f,0,0,0,t,1,1.86
98.0,115.0,Entire apartment,Castro/Upper Market,t,4,34,64,t,2,0.21
93.0,45.0,Shared room in hostel,Financial District,f,29,59,89,t,21,2.17
94.0,45.0,Shared room in hostel,Financial District,f,29,59,89,t,21,2.12
94.0,45.0,Shared room in hostel,Financial District,f,29,59,89,t,21,2.36
